S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
223,base_footprint,36,0.018371799441563,-0.007131771114499,2.5671249183327,0.08573273553095,-2.4964928409693,0.003526694974707
225,base_footprint,36,0.016388128161733,-0.005883465932423,2.55303670063159,0.090836098021929,-2.49645689031614,0.003549678529018
225,base_footprint,36,0.016388128161733,-0.005883465932423,2.55303670063159,0.090836098021929,-2.49645689031614,0.003549678529018
226,base_footprint,36,0.017647059101328,-0.005882353041642,2.54901964577313,0.090836098021929,-2.49645689031614,0.003549678529018
227,base_footprint,36,0.017647059101328,-0.005882353041642,2.54901964577313,0.095774790029905,-2.49642148623764,0.003652529552437
228,base_footprint,36,0.017278597293294,-0.006320108007552,2.54559901416134,0.095774790029905,-2.49642148623764,0.003652529552437
229,base_footprint,36,0.017278597293294,-0.006320108007552,2.54559901416134,0.10068102685393,-2.49638475700676,0.003758652239673
230,base_footprint,36,0.017278597293294,-0.006320108007552,2.54559901416134,0.10068102685393,-2.49638475700676,0.003758652239673
231,-,-,-,-,-,0.105773645330168,-2.49634647212717,0.00376296429188
232,-,-,-,-,-,0.110714886820065,-2.49630929506096,0.003765815827612
233,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.110714886820065,-2.49630929506096,0.003765815827612
234,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.115655383486653,-2.49627207109215,0.003770197185413
235,-,-,-,-,-,0.120746566423925,-2.49623367055465,0.003774801486598
236,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.120746566423925,-2.49623367055465,0.003774801486598
237,-,-,-,-,-,0.125689406213364,-2.49619633766017,0.003778955149639
238,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.125689406213364,-2.49619633766017,0.003778955149639
239,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.125689406213364,-2.49619633766017,0.003778955149639
240,base_footprint,36,0.018595705636347,-0.006432967387473,2.51786053319367,0.130633856774844,-2.4961589492638,0.003782616883672
241,base_footprint,36,0.0206171208314,-0.007070549813037,2.51588009378274,0.130633856774844,-2.4961589492638,0.003782616883672
242,-,-,-,-,-,0.135729951249061,-2.49612037588884,0.003785807370176
243,-,-,-,-,-,0.140677998858029,-2.49608289485747,0.003788347199272
244,base_footprint,36,0.019637882811229,-0.00573801043939,2.48909582515062,0.140677998858029,-2.49608289485747,0.003788347199272
245,-,-,-,-,-,0.145627888586538,-2.49604537716574,0.003790316039448
246,-,-,-,-,-,0.15072930474561,-2.49600668818779,0.003793347746558
247,base_footprint,36,0.020794840766176,-0.005604043354609,2.49081170946536,0.15072930474561,-2.49600668818779,0.003793347746558
248,-,-,-,-,-,0.155682474695061,-2.49596909724599,0.003795940199797
249,base_footprint,36,0.019577273897967,-0.005661552830904,2.45694513575983,0.155682474695061,-2.49596909724599,0.003795940199797
250,-,-,-,-,-,0.160637489728137,-2.49593147070979,0.003797957814464
251,base_footprint,36,0.019577273897967,-0.005661552830904,2.45694513575983,0.160637489728137,-2.49593147070979,0.003797957814464
252,-,-,-,-,-,0.16574449496877,-2.495892675939,0.003799488266308
253,base_footprint,36,0.019137019484636,-0.007118445793331,2.44935826511904,0.16574449496877,-2.495892675939,0.003799488266308
